Timestamp,Steps,HeadingDeg,X,Y,StepLen,Source
1768292239734,268,-90,-8.799512158506742,4.250870437870665,0.63,SCS
1768292240314,269,-54,-9.355668178765486,4.651591042579162,0.69,SCS
1768292240961,270,-90,-10.031432020379114,4.651591013040585,0.68,SCS
1768292241582,271,-53,-10.559278119007173,5.038087262105532,0.65,SCS
1768292242202,272,-90,-11.224235968547884,5.0380872330393,0.66,SCS
1768292242718,273,-51,-11.754753763480682,5.457879757457321,0.68,SCS
1768292243405,274,-90,-12.395507523661378,5.4578797294490835,0.64,SCS
1768292243920,275,-48,-12.910276952944958,5.907292322890435,0.68,SCS
1768292244565,276,-90,-13.575673494723686,5.907292293805027,0.67,SCS
1768292245124,277,-46,-14.086784138424283,6.384573276589151,0.70,SCS
1768292245765,278,-90,-14.752698772277173,6.384573247481097,0.67,SCS
1768292246325,279,-43,-15.219963801413497,6.8690568216271926,0.67,SCS
1768292246969,280,-90,-15.920759231352243,6.86905679099445,0.70,SCS
1768292247525,281,-46,-16.421530974591434,7.341785785440534,0.69,SCS
1768292248170,282,-109,-17.051427137396658,7.117467994832013,0.67,SCS
1768292248706,283,-48,-17.54083137067625,7.550032502105067,0.65,SCS
1768292249306,284,-90,-18.19749514916209,7.55003247340138,0.66,SCS
1768292249866,285,-44,-18.68084404653441,8.046644965909318,0.69,SCS
1768292250465,286,-90,-19.35731897914107,8.046644936339659,0.68,SCS
1768292251022,287,-45,-19.847168897174075,8.526719589838756,0.69,SCS
1768292251668,288,-90,-20.499580409883364,8.526719561320942,0.65,SCS
1768292252204,289,-53,-21.037872089584848,8.92297673304455,0.67,SCS
1768292252803,290,-90,-21.71090309026768,8.922976703625428,0.67,SCS
1768292253340,291,-48,-22.236987704528474,9.387346137184752,0.70,SCS
1768292253942,292,-90,-22.92936316671021,9.387346106920058,0.69,SCS
1768292254499,293,-21,-23.181275780340858,10.015183059500906,0.68,SCS
1768292255100,294,-34,-23.550446617990918,10.560558566010737,0.66,SCS
1768292255680,295,31,-23.19911670867802,11.141188013859482,0.68,SCS
1768292256278,296,0,-23.19911670867802,11.818351214480515,0.68,SCS
1768292256816,297,41,-22.748429900798545,12.31985124251214,0.67,SCS
1768292257438,298,0,-22.748429900798545,12.957455949406206,0.64,SCS
1768292257974,299,43,-22.289896419701666,13.448287613653367,0.67,SCS
1768292258616,300,0,-22.289896419701666,14.075042281178394,0.63,SCS
1768292259134,301,42,-21.827960117808182,14.573703300324995,0.68,SCS
1768292259756,302,0,-21.827960117808182,15.23908006571898,0.67,SCS
1768292260292,303,69,-21.1605002364089,15.491266938881642,0.71,SCS
1768292260915,304,39,-20.739415076150806,16.00931264158361,0.67,SCS
1768292261451,305,107,-20.07323827626338,15.793506056239424,0.70,SCS
1768292262030,306,90,-19.36486159404236,15.793506025275295,0.71,SCS
1768292262589,307,126,-18.81322089877517,15.391716283638127,0.68,SCS
1768292263214,308,90,-18.17101101318519,15.39171625556624,0.64,SCS
1768292263768,309,132,-17.666619040649667,14.936309715924319,0.68,SCS
1768292264349,310,90,-17.02989967004445,14.93630968809243,0.64,SCS
1768292264883,311,139,-16.579886661182922,14.411790160783097,0.69,SCS
1768292265506,312,90,-15.94823403439444,14.411790133172683,0.63,SCS
1768292266021,313,135,-15.445400695971795,13.905435942119464,0.71,SCS
1768292266645,314,90,-14.783167289779136,13.90543591317232,0.66,SCS
1768292267179,315,135,-14.299135180302025,13.418813948550053,0.69,SCS
1768292267802,316,90,-13.653757293582288,13.418813920339689,0.65,SCS
1768292268360,317,136,-13.191514734759105,12.938979305686596,0.67,SCS
1768292269004,318,90,-12.518765041813136,12.938979276279772,0.67,SCS
1768292269540,319,132,-12.010818820406165,12.478867532863182,0.69,SCS
1768292270141,320,90,-11.363800560913688,12.478867504581114,0.65,SCS
1768292270677,321,131,-10.839800807624654,12.019544057459912,0.70,SCS
1768292271300,322,90,-10.168712507144399,12.01954402812571,0.67,SCS
1768292271879,323,128,-9.635052546699853,11.587463910510312,0.69,SCS
1768292272437,324,90,-8.943572451967855,11.587463880284757,0.69,SCS
1768292272972,325,128,-8.387681378615508,11.144431742717666,0.71,SCS
1768292273595,326,90,-7.721529127466158,11.144431713599225,0.67,SCS
1768292274132,327,127,-7.194840354098932,10.73459628479461,0.67,SCS
1768292274733,328,90,-6.543022713582801,10.734596256302757,0.65,SCS
1768292275248,329,134,-6.04586752572481,10.250127762014868,0.69,SCS
1768292275871,330,90,-5.273273863489536,10.250127728243726,0.77,SCS
1768292276256,331,137,-4.750455899815901,9.687563801196523,0.77,SCS
1768292276556,332,134,-4.257755598730602,9.197838906959321,0.69,SCS
1768292276986,333,133,-3.749409015465168,8.709628842289716,0.70,SCS
1768292277565,334,-162,-3.963952893459222,8.018918681676487,0.72,SCS
1768292278167,335,180,-3.963952951624123,7.353589793520963,0.67,SCS
1768292278681,336,-146,-4.332200988183476,6.8003802300278675,0.66,SCS
1768292279281,337,180,-4.332201045327146,6.146732861054339,0.65,SCS
1768292279841,338,-142,-4.735453473878387,5.620661522140852,0.66,SCS
1768292280354,339,-180,-4.735453415445121,4.952262889545334,0.67,SCS
1768292280934,340,-137,-5.177541557772035,4.4722887563801645,0.65,SCS
1768292281491,341,180,-5.177541614915206,3.818647104123995,0.65,SCS
1768292282027,342,-180,-5.177541556048256,3.1452877207406424,0.67,SCS
1768292282651,343,143,-4.760622339018367,2.5739807053386454,0.71,SCS
1768292283165,344,141,-4.2976018812699435,1.9984269352204345,0.74,SCS
1768292283853,345,112,-3.6022469210509596,1.7137498750266358,0.75,SCS
1768292284668,346,180,-3.602246975797402,1.08752359373191,0.63,SCS
1768292285204,347,180,-3.6022470294841735,0.4734185336547718,0.61,SCS
1768292285653,348,-180,-3.602246979376053,-0.09975152753961758,0.57,SCS
1768292286060,349,-122,-4.272442510708541,-0.519194203710432,0.79,SCS
1768292295700,350,25,-3.931490889599681,0.18195144158195087,0.78,SCS
