Timestamp,Type,Val1,Val2,Val3,Val4,Val5,Val6,Val7
1768361214628,RAW,9.87207,7.751953,-0.11816406,,,,
1768361214688,RAW,10.87207,9.001953,-0.49316406,,,,
1768361214698,SWING,9.361646,8.180357,2.2606788,0.18915576,0.1532991,0.9699069,SWINGING
1768361214747,RAW,10.12207,7.251953,-0.24316406,,,,
1768361214837,RAW,10.24707,7.376953,0.0068359375,,,,
1768361214899,RAW,10.12207,9.501953,-0.86816406,,,,
1768361214908,SWING,10.8073845,8.569904,2.2643092,0.23313689,0.11417502,0.96571803,SWINGING
1768361214955,RAW,9.37207,9.876953,-0.36816406,,,,
1768361215016,RAW,10.99707,8.376953,-0.11816406,,,,
1768361215075,RAW,9.37207,8.501953,-0.24316406,,,,
1768361215135,RAW,9.87207,8.501953,-0.24316406,,,,
1768361215146,SWING,10.310934,9.157606,2.2725368,0.15020499,0.119744964,0.9813764,SWINGING
1768361215195,RAW,10.74707,9.126953,0.0068359375,,,,
1768361215258,RAW,9.24707,9.251953,-0.36816406,,,,
1768361215318,RAW,10.62207,8.501953,0.0068359375,,,,
1768361215377,RAW,9.74707,9.001953,-0.74316406,,,,
1768361215390,SWING,10.654245,9.779341,2.2773569,0.07019834,0.12134161,0.9901255,SWINGING
1768361215436,RAW,9.74707,9.626953,0.0068359375,,,,
1768361215498,RAW,9.74707,9.876953,-0.36816406,,,,
1768361215558,RAW,10.24707,8.876953,-0.36816406,,,,
1768361215615,RAW,9.49707,9.501953,-0.11816406,,,,
1768361215618,SWING,12.111544,10.64915,2.282412,0.026336927,0.11874038,0.992576,SWINGING
1768361215677,RAW,10.62207,9.126953,-0.11816406,,,,
1768361215736,RAW,8.87207,9.126953,-0.11816406,,,,
1768361215799,RAW,9.87207,9.251953,-0.11816406,,,,
1768361215861,RAW,9.37207,8.876953,-0.11816406,,,,
1768361215870,SWING,12.694695,11.31576,2.2844985,0.016323278,0.11702207,0.9929952,SWINGING
1768361215920,RAW,11.74707,11.376953,0.0068359375,,,,
1768361216006,RAW,9.49707,9.751953,-0.36816406,,,,
1768361216065,RAW,9.12207,10.501953,0.0068359375,,,,
1768361216069,SWING,13.702095,11.894702,2.2880256,0.0018621003,0.1052043,0.9944489,SWINGING
1768361216128,RAW,10.87207,7.251953,0.75683594,,,,
1768361216190,RAW,9.99707,10.251953,0.25683594,,,,
1768361216249,RAW,9.74707,6.501953,0.0068359375,,,,
1768361216308,RAW,9.87207,8.376953,1.1318359,,,,
1768361216325,SWING,10.277547,11.888025,2.2854922,0.0016578784,0.10827803,0.9941193,SWINGING
1768361216367,RAW,9.12207,11.501953,0.13183594,,,,
1768361216429,RAW,9.49707,8.251953,1.0068359,,,,
1768361216488,RAW,11.49707,7.501953,0.50683594,,,,
1768361216550,RAW,11.49707,7.376953,0.75683594,,,,
1768361216564,SWING,9.868319,11.73084,2.2815208,0.021742735,0.12367377,0.9920847,SWINGING
1768361216607,RAW,10.12207,7.001953,0.0068359375,,,,
1768361216667,RAW,10.99707,8.376953,0.0068359375,,,,
1768361216728,RAW,8.12207,14.751953,1.8818359,,,,
1768361216792,RAW,7.9970703,11.251953,3.756836,,,,
1768361216796,SWING,7.280835,10.764698,2.2894251,0.6794302,0.12953694,0.7222152,SWINGING
1768361216845,RAW,5.6220703,-8.498047,15.131836,,,,
1768361216905,RAW,-8.377441,-5.6245117,-2.243164,,,,
1768361216965,RAW,4.873535,11.875,-8.243164,,,,
1768361217027,RAW,10.12207,-14.625977,8.1328125,,,,
1768361217036,SWING,10.035986,10.232956,-0.9095918,0.47559842,-0.44161344,-0.76077837,SWINGING
1768361217087,RAW,3.9985352,-5.3754883,-5.367676,,,,
1768361217177,RAW,-3.0024414,-12.751465,12.5078125,,,,
1768361217239,RAW,-8.374512,-0.62646484,-9.618652,,,,
1768361217243,SWING,10.343864,9.56131,-0.9299026,0.5859267,-0.4860515,-0.6484164,SWINGING
1768361217298,RAW,-2.0014648,11.248535,-9.744629,,,,
1768361217359,RAW,4.7475586,-11.251465,-1.7456055,,,,
1768361217418,RAW,13.246094,6.6206055,-1.9946289,,,,
1768361217477,RAW,5.873047,0.7426758,-12.743164,,,,
1768361217488,SWING,7.0342226,8.912645,-0.89680344,0.6699527,-0.44023597,-0.59779227,SWINGING
1768361217539,RAW,3.244629,5.489746,-2.3671875,,,,
1768361217596,RAW,10.872559,-10.755859,7.633789,,,,
1768361217658,RAW,10.497559,-3.130371,-6.491699,,,,
1768361217719,RAW,-5.501953,-3.2558594,12.5078125,,,,
1768361217725,SWING,4.9892683,7.936835,-0.94653803,0.6540049,-0.47210172,-0.59109855,SWINGING
1768361217776,RAW,3.8735352,-4.0063477,-5.491699,,,,
1768361217837,RAW,-15.751953,10.243164,-9.116211,,,,
1768361217898,RAW,8.497559,-15.131836,3.883789,,,,
1768361217957,RAW,1.371582,-6.6313477,2.3842773,,,,
1768361217971,SWING,4.8176956,7.4442077,-0.95424515,0.48915055,-0.39261883,-0.77883387,SWINGING
1768361218020,RAW,4.7475586,10.744629,-2.8666992,,,,
1768361218076,RAW,11.249512,-13.876953,-15.744141,,,,
1768361218141,RAW,0.5,-1.6240234,-3.6210938,,,,
1768361218200,RAW,-2.7480469,-1.2490234,-2.621582,,,,
1768361218212,SWING,3.3378046,6.1045713,-0.9486169,0.56955874,-0.31381643,-0.7596856,SWINGING
1768361218257,RAW,12.376953,13.126953,-11.12207,,,,
1768361218346,RAW,11.627441,-10.372559,-8.12207,,,,
1768361218407,RAW,1.1274414,-3.1225586,-3.8720703,,,,
1768361218422,SWING,2.974997,4.6307974,-0.94581735,0.6097263,-0.29825324,-0.73435616,SWINGING
1768361218467,RAW,2.3764648,14.127441,2.7539062,,,,
1768361218528,RAW,10.000488,10.250488,-5.4956055,,,,
1768361218589,RAW,-8.375977,8.0,-2.494629,,,,
1768361218646,RAW,-2.7514648,10.998047,3.3813477,,,,
1768361218653,SWING,2.5846062,3.7408745,-0.9254634,0.36302376,-0.222373,-0.90485585,SWINGING
